Country Name,2012,2013,2014,2015,2016,2017
"Micronesia, Fed. Sts.",327248700,317214400,319271200,316489900,332265200,366666800
Gabon,17170465294,17595745653,18203968002,14383107714,14023890620,14929488771
United Kingdom,2.70E+12,2.79E+12,3.06E+12,2.93E+12,2.69E+12,2.67E+12
Georgia,16488403076,17189551521,17627003455,14953950557,15141758567,16242916916
Ghana,41270954737,62405374786,53660342160,48564863888,55009730600,58998132330
Gibraltar,,,,,,
Guinea,7638045254,8376613843,8778473615,8794202444,8595955581,10324668267
"Gambia, The",1415006238,1375608956,1229460602,1378176868,1484579844,1504909753
Guinea-Bissau,989271229.6,1046087418,1054915645,1048229629,1179004941,1350177128
Equatorial Guinea,22388345810,21948835350,21765454404,13185496836,11240809132,12200914930
Greece,2.46E+11,2.40E+11,2.37E+11,1.97E+11,1.95E+11,2.04E+11
Grenada,799882259.3,842620111.1,911497407.4,997007925.9,1061631222,1125685185
Greenland,2609667674,2684952727,2842048998,2499115623,2707146783,2826651926
Guatemala,50388460925,52996540576,57852399705,62186186576,66053725049,71612352645
Guam,5199000000,5336000000,5538000000,5710000000,5795000000,5851000000
Guyana,4063090016,4167801803,4127664336,4279840362,4482697337,4748174334
High income,4.93E+13,4.99E+13,5.10E+13,4.82E+13,4.92E+13,5.15E+13
"Hong Kong SAR, China",2.63E+11,2.76E+11,2.91E+11,3.09E+11,3.21E+11,3.41E+11
Honduras,18528601901,18499710128,19756494435,20979767785,21717622071,23136232230
Heavily indebted poor countries (HIPC),5.81E+11,6.48E+11,6.83E+11,6.77E+11,6.70E+11,7.13E+11
Croatia,56580819624,58194069434,57639588806,49525747504,51601147666,55481644098
Haiti,13708931890,14498080023,14790765760,14857386164,13723267961,14213814583
Hungary,1.28E+11,1.35E+11,1.41E+11,1.25E+11,1.28E+11,1.43E+11
IBRD only,2.51E+13,2.66E+13,2.75E+13,2.60E+13,2.62E+13,2.89E+13
IDA & IBRD total,2.69E+13,2.85E+13,2.96E+13,2.80E+13,2.82E+13,3.10E+13
IDA total,1.79E+12,1.97E+12,2.11E+12,2.10E+12,2.04E+12,2.11E+12
IDA blend,8.90E+11,9.66E+11,1.04E+12,1.00E+12,9.31E+11,9.23E+11
Indonesia,9.18E+11,9.13E+11,8.91E+11,8.61E+11,9.32E+11,1.02E+12
IDA only,8.95E+11,9.98E+11,1.07E+12,1.10E+12,1.11E+12,1.19E+12
Isle of Man,6690725118,7000748788,7708834951,7085288006,6846691871,6979581725
India,1.83E+12,1.86E+12,2.04E+12,2.10E+12,2.29E+12,2.65E+12
Not classified,,,,,,
Ireland,2.25E+11,2.39E+11,2.58E+11,2.92E+11,3.01E+11,3.36E+11
"Iran, Islamic Rep.",5.99E+11,4.60E+11,4.33E+11,3.85E+11,4.18E+11,4.45E+11
Iraq,2.18E+11,2.35E+11,2.35E+11,1.77E+11,1.75E+11,1.95E+11
Iceland,14724078148,16033517403,17758050016,17389101639,20618363252,24488176541
Israel,2.57E+11,2.93E+11,3.10E+11,3.00E+11,3.19E+11,3.53E+11
Italy,2.09E+12,2.14E+12,2.16E+12,1.84E+12,1.88E+12,1.96E+12
Jamaica,14807086889,14262589158,13897804560,14187696311,14075894320,14806340821
Jordan,31634561670,34454440181,36847643587,38587017944,39892551149,41408960787
Japan,6.20E+12,5.16E+12,4.85E+12,4.39E+12,4.92E+12,4.87E+12
Kazakhstan,2.08E+11,2.37E+11,2.21E+11,1.84E+11,1.37E+11,1.67E+11
Kenya,50412754861,55096728048,61448046802,64007750169,69188755364,78965004656
Kyrgyz Republic,6605139933,7335027592,7468096567,6678178340,6813092066,7702934800
Cambodia,14054443213,15227991395,16702610842,18049954289,20016747754,22177200512
Kiribati,190243321.6,185113921.6,179703443.3,171117872.4,178328873,187276210.9
St. Kitts and Nevis,800414814.8,839774074.1,916566666.7,923155555.6,971166666.7,996944444.4
"Korea, Rep.",1.28E+12,1.37E+12,1.48E+12,1.47E+12,1.50E+12,1.62E+12
Kuwait,1.74E+11,1.74E+11,1.63E+11,1.15E+11,1.09E+11,1.21E+11
Latin America & Caribbean (excluding high income),5.63E+12,5.76E+12,5.89E+12,5.01E+12,4.87E+12,5.43E+12
Lao PDR,10191350120,11942230508,13268458232,14390442307,15805692546,16853087485
Lebanon,44035991746,46909335135,48134486625,49939374833,51205122504,53140638269
Liberia,2721000000,3067000000,3144000000,3177000000,3277826000,3285455000
Libya,81873662519,65502870174,41142722414,27842131480,26197143268,37883243650
St. Lucia,1605146778,1664816741,1755130815,1808079889,1865375222,1999090407
Latin America & Caribbean,6.15E+12,6.30E+12,6.43E+12,5.53E+12,5.40E+12,6.00E+12
Least developed countries: UN classification,8.26E+11,9.02E+11,9.74E+11,9.66E+11,9.51E+11,1.03E+12
Low income,4.50E+11,4.93E+11,5.27E+11,5.34E+11,4.89E+11,5.03E+11
Liechtenstein,5456009385,6391735894,6657170923,6268391521,6237264055,6552858739
Sri Lanka,68434409315,74317806538,79356449841,80604080689,82401038710,87428125558
Lower middle income,4.67E+12,4.92E+12,5.23E+12,5.18E+12,5.36E+12,5.77E+12
Low & middle income,2.59E+13,2.74E+13,2.85E+13,2.71E+13,2.72E+13,2.99E+13
Lesotho,2526185314,2421470018,2499803984,2372280103,2165408359,2405289384
Late-demographic dividend,1.76E+13,1.90E+13,1.97E+13,1.85E+13,1.85E+13,2.05E+13
Lithuania,42943442158,46514471182,48574531942,41418872976,43018087238,47758736932
